,VVD,D66,PVV,GL/PvdA,SP,JA21,Denk,CU,CDA,BIJ1,BBB,FvD,SGP,50PLUS,PvdD,Volt,NSC
VVD,1,0,-0.2,0,0,-0.2,0,0,-0.2,0,-0.2,0,0,0,0,0,-0.1
D66,0,1,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.2,0
PVV,-0.2,0,1,0,0,-0.2,0,0,-0.1,0,-0.2,-0.2,0,0,0,0,-0.1
GL/PvdA,0,-0.2,0,1,-0.2,0,-0.1,0,0,0,0,0,0,0,-0.2,-0.2,-0.1
SP,0,0,0,-0.2,1,0,-0.2,0,0,-0.2,0,0,0,0,0,0,0
JA21,-0.2,0,-0.2,0,0,1,0,0,-0.1,0,-0.2,-0.1,-0.1,0,0,0,-0.1
Denk,0,0,0,-0.1,-0.2,0,1,0,0,-0.2,0,0,0,0,0,0,0
CU,0,0,0,0,0,0,0,1,-0.1,0,0,0,-0.2,0,0,0,-0.1
CDA,-0.2,0,-0.1,0,0,-0.1,0,-0.1,1,0,-0.2,0,-0.1,0,0,0,-0.2
BIJ1,0,0,0,0,-0.2,0,-0.2,0,0,1,0,0,0,0,-0.2,-0.2,0
BBB,-0.2,0,-0.2,0,0,-0.2,0,0,-0.2,0,1,0,0,0,0,0,-0.2
FvD,0,0,-0.2,0,0,-0.1,0,0,0,0,0,1,-0.2,0,0,0,0
SGP,0,0,0,0,0,-0.1,0,-0.2,-0.1,0,0,-0.2,1,0,0,0,0
50PLUS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PvdD,0,0,0,-0.2,0,0,0,0,0,-0.2,0,0,0,0,1,0,0
Volt,0,-0.2,0,-0.2,0,0,0,0,0,-0.2,0,0,0,0,0,1,0
NSC,-0.1,0,-0.1,-0.1,0,-0.1,0,-0.1,-0.2,0,-0.2,0,0,0,0,0,1
