Partij,Bouwen-progressief,Bouwen-Rechts,Ethiek- progressief,Ethiek - Rechts,Sociale zaken- progressief,Sociale zaken - Rechts,Milieu - progressief,Milieu rechts,onderwijs Progressief,onderwijs rechts,immigratie progressief,immigratie rechts,buitenlandese zaken progressief,buitenlandse zaken rechts,Economie progressief,Economie rechts
VVD,0,.5,0.17,0,0,0.25,.5,1,0.5,0.5,.67,0,-0.17,1,0.5,0.5
D66,-0.75,.5,-0.67,0,0,-0.5,-0.4,0.5,-0.5,0,-0.5,0,-0.83,0.5,-0.5,0
PVV,-.25,0,0.67,0,0,-.25,.8,1,1,0.25,1,0,1,-0.5,0.75,0.5
GL/PvdA,-.75,-.5,-0.67,0,0,-0.88,-.6,-.5,-0.5,-0.25,-0.5,0,-0.83,0,-0.75,-0.5
SP,-0.75,-0.5,-0.17,0,0,-0.88,-.1,-.5,-1,-0.5,0.17,0,0.17,-1,-0.75,-1
JA21,0.5,1,0.83,0,0,0.68,1,1,1,0.5,1,0,0.83,1,1,1
Denk,-.75,-1,.5,0,0,-0.75,0,0,-1,-1,-0.83,0,-0.5,-0.5,-0.5,-0.5
CU,-.5,-.5,0.5,0,0,-0.75,0,.5,-0.5,-0.25,-0.33,0,-0.5,1,-0.75,-0.5
CDA,0,.5,0.67,0,0,-0.5,.6,1,0.5,0.5,.5,0,-0.67,1,-0.25,0.5
BIJ1,-1,-1,-1,0,0,-1,-1,-1,-1,-0.75,-1,0,-0.5,-1,-1,-1
BBB,-.25,0,.5,0,0,-0.5,.9,1,0.5,-0.25,.67,0,0,1,0,0.75
FvD,1,1,.83,0,0,0.38,1,1,1,0.5,0.83,0,1,0.5,0.75,1
SGP,.5,.5,1,0,0,0,0.7,0.5,0.5,0.25,.5,0,-0.17,1,-0.5,0.25
50PLUS,-1,-1,0.33,0,0,-1,.7,1,-0.5,0,-0.33,0,0.17,1,-0.5,0.25
PvdD,-.75,-1,-0.83,0,0,-1,-1,-1,-1,-0.75,-.5,0,-0.67,-1,-1,-1
Volt,-.5,0,-1,0,0,-0.5,-.6,1,-1,0,-1,0,-1,1,-1,-0.75
NSC,-.75,0,0.33,0,0,-0.88,.33,1,0.5,0,.5,0,-0.5,1,0,0.25
BVNL,1,1,0.33,0,0,1,1,1,1,1,1,0,1,1,1,1
