,Key,Value
0,"('CU',)",0.0
17,"('Denk',)",0.0
16,"('CDA',)",0.0
15,"('JA21',)",0.0
14,"('50PLUS',)",0.0
13,"('VVD',)",0.0
12,"('SGP',)",0.0
11,"('GL',)",0.0
9,"('D66',)",0.0
10,"('PVV',)",0.0
7,"('FvD',)",0.0
6,"('BIJ1',)",0.0
5,"('PvdD',)",0.0
4,"('NSC',)",0.0
3,"('GL/PvdA',)",0.0
2,"('BBB',)",0.0
1,"('SP',)",0.0
8,"('Volt',)",0.0
93,"('PvdD', 'BIJ1')",1.3980373333333334
73,"('GL/PvdA', 'GL')",3.0411608546309963
38,"('SP', 'PvdD')",3.5100000000000002
63,"('BBB', 'JA21')",3.58835822091201
123,"('FvD', 'JA21')",3.8093841400142163
91,"('NSC', 'CDA')",5.5509144399868555
52,"('BBB', 'NSC')",5.5509144399868555
349,"('SP', 'PvdD', 'BIJ1')",6.419289333333333
39,"('SP', 'BIJ1')",7.688304000000001
50,"('SP', 'Denk')",8.577926441186321
71,"('GL/PvdA', 'D66')",9.548768981382796
88,"('NSC', 'VVD')",9.971426622460461
126,"('Volt', 'D66')",10.208322675561465
87,"('NSC', 'SGP')",10.466180455368855
484,"('BBB', 'FvD', 'JA21')",10.47447105224087
451,"('BBB', 'NSC', 'JA21')",10.629500618120364
136,"('D66', 'GL')",10.72328719947516
156,"('SGP', 'VVD')",10.972343348103522
159,"('SGP', 'CDA')",11.333364216900492
90,"('NSC', 'JA21')",11.718615344469397
588,"('GL/PvdA', 'D66', 'GL')",11.880774066162642
55,"('BBB', 'FvD')",13.155936684980388
360,"('SP', 'PvdD', 'Denk')",13.19591428662485
104,"('PvdD', 'Denk')",13.805943102379423
155,"('GL', 'Denk')",13.80857461570074
689,"('NSC', 'SGP', 'CDA')",13.938214739899797
89,"('NSC', '50PLUS')",14.185475330397761
61,"('BBB', 'VVD')",14.196283933513163
44,"('SP', 'GL')",14.264356458041258
449,"('BBB', 'NSC', 'VVD')",15.145068507556783
109,"('BIJ1', 'GL')",15.85286464182302
686,"('NSC', 'SGP', 'VVD')",16.006993967061927
163,"('VVD', 'CDA')",16.036590249091706
1951,"('SP', 'PvdD', 'BIJ1', 'Denk')",16.041058984425693
693,"('NSC', 'VVD', 'CDA')",16.082916918380462
711,"('PvdD', 'BIJ1', 'Denk')",16.161732611748945
115,"('BIJ1', 'Denk')",16.509608085454985
371,"('SP', 'BIJ1', 'Denk')",16.70307155684605
452,"('BBB', 'NSC', 'CDA')",16.972988383805966
98,"('PvdD', 'GL')",17.025368434580862
79,"('GL/PvdA', 'Denk')",17.052455196098503
36,"('SP', 'GL/PvdA')",17.08503679163922
