Partij,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
VVD,39,17,17,27,26,20,20,10,23,31,24,25,22,20,27,18,18,21,20,28,31,26,21,16,14
D66,8,11,8,9,6,8,7,13,10,9,12,10,11,10,13,9,12,17,9,6,9,12,5,10,12
PVV,38,47,49,21,17,34,39,31,53,31,37,39,37,38,36,50,36,28,50,38,40,39,37,45,42
GL/PvdA,24,28,25,37,48,21,27,21,19,30,30,25,21,30,27,20,24,19,29,36,25,20,29,22,31
SP,6,9,6,6,2,10,7,8,6,7,6,6,4,7,2,9,7,7,5,4,5,10,6,7,8
JA21,0,2,0,2,1,2,0,1,0,1,0,1,0,0,0,2,0,1,1,1,1,1,2,1,2
Denk,0,3,4,2,5,11,3,3,3,2,1,3,4,3,3,3,2,4,4,4,3,1,2,3,4
CU,2,3,1,4,3,3,3,1,4,3,3,5,5,3,4,2,4,4,1,1,1,2,3,3,3
CDA,9,11,7,10,10,9,9,17,7,8,8,8,11,12,11,3,11,17,6,7,5,8,15,9,11
BIJ1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0
BBB,6,5,8,7,7,12,8,14,7,10,8,8,7,6,7,9,12,7,6,8,5,4,8,6,7
FvD,3,2,4,5,6,3,3,5,4,5,4,3,5,4,4,3,4,7,4,4,3,9,4,5,3
SGP,2,2,4,3,4,4,4,5,2,3,3,1,2,3,2,5,3,1,2,2,3,3,2,8,2
50PLUS,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0
PvdD,4,3,6,6,4,4,8,8,4,3,6,5,7,5,7,8,6,7,7,6,9,8,5,6,4
Volt,4,4,6,5,4,4,6,4,4,3,2,5,6,4,2,4,4,2,3,3,2,4,5,3,4
NSC,4,3,5,4,5,5,6,6,4,2,5,4,6,4,5,5,5,5,3,2,6,3,4,5,3
BVNL,0,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0
