,Partij,0,1,2,3
0,PvdD,0.0,0.0,0.0,0.0
1,GL,0.0,0.0,0.0,0.0
2,FvD,0.4,0.30000000000000004,0.30000000000000004,36.00000000000001
3,50PLUS,0.0,0.0,0.0,0.0
4,PVV,0.5,0.4,0.30000000000000004,45.0
5,Volt,0.0,0.0,0.0,0.0
6,SP,0.1,0.1,0.0,9.0
7,GL/PvdA,0.5,0.6,0.7,54.99999999999999
8,JA21,0.1,0.2,0.1,13.0
9,Denk,0.0,0.1,0.1,4.0
10,D66,0.5,0.30000000000000004,0.5,44.0
11,BIJ1,0.0,0.0,0.0,0.0
12,BBB,0.6,0.7999999999999999,0.6,65.99999999999999
13,CU,0.1,0.2,0.0,12.0
14,NSC,0.5,0.6,0.7,54.99999999999999
15,VVD,0.9999999999999999,0.9999999999999999,0.9999999999999999,99.99999999999997
16,SGP,0.2,0.2,0.4,22.0
17,CDA,0.4,0.4,0.6,42.0
