,Key,Value
0,"('NSC',)",55
1,"('SGP',)",13
2,"('D66',)",34
3,"('CDA',)",42
4,"('GL/PvdA',)",50
5,"('BIJ1',)",0
6,"('FvD',)",17
7,"('GL',)",0
8,"('PVV',)",50
9,"('Denk',)",2
10,"('SP',)",3
11,"('50PLUS',)",0
12,"('PvdD',)",1
13,"('BBB',)",75
14,"('Volt',)",3
15,"('CU',)",11
16,"('JA21',)",7
17,"('VVD',)",98
18,"('NSC', 'SGP')",11
19,"('NSC', 'D66')",12
20,"('NSC', 'CDA')",20
21,"('NSC', 'GL/PvdA')",24
22,"('NSC', 'BIJ1')",0
23,"('NSC', 'FvD')",12
24,"('NSC', 'GL')",0
25,"('NSC', 'PVV')",31
26,"('NSC', 'Denk')",0
27,"('NSC', 'SP')",0
28,"('NSC', '50PLUS')",0
29,"('NSC', 'PvdD')",0
30,"('NSC', 'BBB')",47
31,"('NSC', 'Volt')",0
32,"('NSC', 'CU')",5
33,"('NSC', 'JA21')",6
34,"('NSC', 'VVD')",55
35,"('SGP', 'D66')",0
36,"('SGP', 'CDA')",1
37,"('SGP', 'GL/PvdA')",1
38,"('SGP', 'BIJ1')",0
39,"('SGP', 'FvD')",7
40,"('SGP', 'GL')",0
41,"('SGP', 'PVV')",12
42,"('SGP', 'Denk')",0
43,"('SGP', 'SP')",0
44,"('SGP', '50PLUS')",0
45,"('SGP', 'PvdD')",0
46,"('SGP', 'BBB')",12
47,"('SGP', 'Volt')",0
48,"('SGP', 'CU')",2
49,"('SGP', 'JA21')",2
50,"('SGP', 'VVD')",13
51,"('D66', 'CDA')",28
52,"('D66', 'GL/PvdA')",34
53,"('D66', 'BIJ1')",0
54,"('D66', 'FvD')",0
55,"('D66', 'GL')",0
56,"('D66', 'PVV')",0
57,"('D66', 'Denk')",2
58,"('D66', 'SP')",3
59,"('D66', '50PLUS')",0
60,"('D66', 'PvdD')",1
61,"('D66', 'BBB')",16
62,"('D66', 'Volt')",3
63,"('D66', 'CU')",9
64,"('D66', 'JA21')",0
65,"('D66', 'VVD')",32
66,"('CDA', 'GL/PvdA')",42
67,"('CDA', 'BIJ1')",0
68,"('CDA', 'FvD')",0
69,"('CDA', 'GL')",0
70,"('CDA', 'PVV')",0
71,"('CDA', 'Denk')",2
72,"('CDA', 'SP')",2
73,"('CDA', '50PLUS')",0
74,"('CDA', 'PvdD')",1
75,"('CDA', 'BBB')",22
76,"('CDA', 'Volt')",3
77,"('CDA', 'CU')",8
78,"('CDA', 'JA21')",0
79,"('CDA', 'VVD')",40
80,"('GL/PvdA', 'BIJ1')",0
81,"('GL/PvdA', 'FvD')",0
82,"('GL/PvdA', 'GL')",0
83,"('GL/PvdA', 'PVV')",0
84,"('GL/PvdA', 'Denk')",2
85,"('GL/PvdA', 'SP')",3
86,"('GL/PvdA', '50PLUS')",0
87,"('GL/PvdA', 'PvdD')",1
88,"('GL/PvdA', 'BBB')",27
89,"('GL/PvdA', 'Volt')",3
90,"('GL/PvdA', 'CU')",9
91,"('GL/PvdA', 'JA21')",0
92,"('GL/PvdA', 'VVD')",48
93,"('BIJ1', 'FvD')",0
94,"('BIJ1', 'GL')",0
