,Partij,Datum Veldwerk Laatste Peiling,Datum Update Peilingwijzer,Percentage,PercentageLaag,PercentageHoog,Zetels,ZetelsLaag,ZetelsHoog
0,PVV,22-09-2024,27-09-2024,26.3,25.1,27.6,42,40,44
1,GL/PvdA,22-09-2024,27-09-2024,16.7,15.8,17.6,26,24,28
2,VVD,22-09-2024,27-09-2024,13.6,12.6,14.6,21,19,23
3,NSC,22-09-2024,27-09-2024,2.9,2.4,3.5,4,3,5
4,D66,22-09-2024,27-09-2024,6.8,6.2,7.3,10,9,11
5,BBB,22-09-2024,27-09-2024,4.3,3.8,4.7,7,6,8
6,CDA,22-09-2024,27-09-2024,6.7,6.0,7.4,10,8,12
7,SP,22-09-2024,27-09-2024,3.9,3.4,4.5,6,5,7
8,Denk,22-09-2024,27-09-2024,2.3,2.1,2.6,3,2,4
9,PvdD,22-09-2024,27-09-2024,4.1,3.5,4.6,6,5,7
10,FvD,22-09-2024,27-09-2024,2.6,2.2,3.0,4,3,5
11,SGP,22-09-2024,27-09-2024,2.2,1.9,2.5,3,2,4
12,CU,22-09-2024,27-09-2024,2.5,2.1,2.9,3,2,4
13,Volt,22-09-2024,27-09-2024,2.9,2.5,3.3,4,3,5
14,JA21,22-09-2024,27-09-2024,0.8,0.6,1.0,1,0,2
