,Partij,Bouwen-progressief,Bouwen-Rechts,Ethiek- progressief,Ethiek - Rechts,Sociale zaken- progressief,Sociale zaken - Rechts,Milieu - progressief,Milieu rechts,onderwijs Progressief,onderwijs rechts,immigratie progressief,immigratie rechts,buitenlandese zaken progressief,buitenlandse zaken rechts,Economie progressief,Economie rechts
0,VVD,0.0,0.5,0.17,0,0,0.25,0.5,1.0,0.5,0.5,0.67,0,-0.17,1.0,0.5,0.5
1,D66,-0.75,0.5,-0.67,0,0,-0.5,-0.4,0.5,-0.5,0.0,-0.5,0,-0.83,0.5,-0.5,0.0
2,PVV,-0.25,0.0,0.67,0,0,-0.25,0.8,1.0,1.0,0.25,1.0,0,1.0,-0.5,0.75,0.5
3,GL/PvdA,-0.75,-0.5,-0.67,0,0,-0.88,-0.6,-0.5,-0.5,-0.25,-0.5,0,-0.83,0.0,-0.75,-0.5
4,SP,-0.75,-0.5,-0.17,0,0,-0.88,-0.1,-0.5,-1.0,-0.5,0.17,0,0.17,-1.0,-0.75,-1.0
5,JA21,0.5,1.0,0.83,0,0,0.68,1.0,1.0,1.0,0.5,1.0,0,0.83,1.0,1.0,1.0
6,Denk,-0.75,-1.0,0.5,0,0,-0.75,0.0,0.0,-1.0,-1.0,-0.83,0,-0.5,-0.5,-0.5,-0.5
7,CU,-0.5,-0.5,0.5,0,0,-0.75,0.0,0.5,-0.5,-0.25,-0.33,0,-0.5,1.0,-0.75,-0.5
8,CDA,0.0,0.5,0.67,0,0,-0.5,0.6,1.0,0.5,0.5,0.5,0,-0.67,1.0,-0.25,0.5
9,BIJ1,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,0,-0.5,-1.0,-1.0,-1.0
10,BBB,-0.25,0.0,0.5,0,0,-0.5,0.9,1.0,0.5,-0.25,0.67,0,0.0,1.0,0.0,0.75
11,FvD,1.0,1.0,0.83,0,0,0.38,1.0,1.0,1.0,0.5,0.83,0,1.0,0.5,0.75,1.0
12,SGP,0.5,0.5,1.0,0,0,0.0,0.7,0.5,0.5,0.25,0.5,0,-0.17,1.0,-0.5,0.25
13,50PLUS,-1.0,-1.0,0.33,0,0,-1.0,0.7,1.0,-0.5,0.0,-0.33,0,0.17,1.0,-0.5,0.25
14,PvdD,-0.75,-1.0,-0.83,0,0,-1.0,-1.0,-1.0,-1.0,-0.75,-0.5,0,-0.67,-1.0,-1.0,-1.0
15,Volt,-0.5,0.0,-1.0,0,0,-0.5,-0.6,1.0,-1.0,0.0,-1.0,0,-1.0,1.0,-1.0,-0.75
16,NSC,-0.75,0.0,0.33,0,0,-0.88,0.33,1.0,0.5,0.0,0.5,0,-0.5,1.0,0.0,0.25
17,BVNL,1.0,1.0,0.33,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0
