Unnamed: 0,reger,reger2,reger3,dis1,dis2,dis3
35,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'SGP', 'D66', 'GL/PvdA', 'CDA')",276.6923818888462,292.68648560339034,317.5173225015857
42,"('VVD', 'GL/PvdA', 'CDA')","('VVD', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'CU', 'GL/PvdA', 'CDA')",98.97598546674084,121.58199960093812,130.783128354906
114,"('PVV', 'BBB', 'FvD', 'SP', 'Volt')","('BBB', 'VVD', 'Volt', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'Volt', 'D66', 'GL/PvdA', 'CDA')",410.208241168574,422.3207908791555,429.6020143791744
139,"('PVV', 'BBB', 'FvD', 'CU', 'JA21')","('PVV', 'BBB', 'FvD', 'CU', 'SGP')","('PVV', 'BBB', 'FvD', 'Volt')",185.6282045502469,194.9182697026316,207.02408158306977
151,"('PVV', 'BBB', 'FvD', 'JA21', 'Volt')","('PVV', 'BBB', 'FvD', 'SGP', 'Volt')","('PVV', 'BBB', 'FvD', 'CU', 'Volt')",249.27874280617925,280.2144004202144,317.4481085198522
220,"('VVD', 'D66', 'GL/PvdA')","('VVD', 'CU', 'D66', 'GL/PvdA')","('VVD', 'Volt', 'D66', 'GL/PvdA')",97.21060140775268,131.74271499719003,135.99889614109924
234,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('PVV', 'BBB', 'VVD', 'CU', 'JA21', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', '50PLUS', 'Volt', 'NSC')",276.6923818888462,288.28215818937576,294.3144584863997
257,"('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('BBB', 'VVD', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')",168.74108562642266,170.23239605224074,194.03201295034924
286,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'Volt', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'CU', 'GL/PvdA', 'CDA', 'NSC')",217.87218521850323,241.93834219671191,248.16194015765404
306,"('VVD', 'CU', 'D66', 'GL/PvdA')","('VVD', 'Volt', 'D66', 'GL/PvdA')","('BBB', 'VVD', 'GL/PvdA', 'CDA')",131.74271499719003,135.99889614109924,141.52105911152964
336,"('PVV', 'BBB', 'VVD', 'JA21', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'JA21', 'SGP')","('BBB', 'VVD', 'GL/PvdA', 'CDA', 'NSC')",144.67329889036017,163.6135129562776,170.23239605224074
339,"('VVD', 'GL/PvdA', 'CDA')","('BBB', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'GL/PvdA', 'CDA', 'NSC')",98.97598546674084,118.8024308250024,121.58199960093812
422,"('BBB', 'VVD', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'D66', 'GL/PvdA', 'CDA', 'NSC')",170.23239605224074,194.03201295034924,195.29774722713464
434,"('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'Volt', 'D66', 'GL/PvdA')",168.74108562642266,217.87218521850323,236.67115666526257
447,"('PVV', 'BBB', 'VVD', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'JA21')","('PVV', 'BBB', 'VVD', 'FvD', 'NSC')",73.7986082552817,108.90853344870122,118.65316690049052
449,"('PVV', 'BBB', 'CU', 'SP', 'Volt')","('PVV', 'BBB', 'SP', 'SGP', 'Volt')","('BBB', 'VVD', 'SP', 'D66', 'GL/PvdA', 'CDA')",359.9671137239166,387.7957830832498,403.14895707007776
