Unnamed: 0,reger,reger2,reger3,dis1,dis2,dis3
6,"('VVD', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'CU', 'D66', 'GL/PvdA')","('VVD', 'Volt', 'D66', 'GL/PvdA')",121.58199960093812,131.74271499719003,135.99889614109924
19,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'SGP', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'GL/PvdA', 'CDA', 'NSC')",217.87218521850323,237.10156129393584,248.16194015765404
20,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'SGP', 'D66', 'GL/PvdA', 'CDA')",276.6923818888462,292.68648560339034,317.5173225015857
28,"('BBB', 'VVD', 'FvD', 'SGP', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'FvD', 'JA21', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'SP', 'GL/PvdA', 'CDA', 'NSC')",382.33693510644576,382.6254119314687,384.1533677354923
30,"('BBB', 'VVD', 'CU', 'GL/PvdA', 'CDA')","('PVV', 'BBB', 'VVD', 'FvD', 'JA21', 'SGP', 'NSC')","('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA')",201.1911666028292,211.4109603835053,217.87218521850323
38,"('VVD', 'CU', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'CU', 'Volt', 'D66', 'GL/PvdA', 'CDA')",257.86790484292766,276.6923818888462,283.4036734917234
49,"('VVD', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'CU', 'GL/PvdA', 'CDA')","('VVD', 'Volt', 'D66', 'GL/PvdA')",121.58199960093812,130.783128354906,135.99889614109924
58,"('VVD', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')",142.15397690818665,187.96326918839728,194.03201295034924
61,"('VVD', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')",142.15397690818665,187.96326918839728,194.03201295034924
81,"('BBB', 'VVD', 'SGP', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'FvD', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', '50PLUS', 'SGP', 'GL/PvdA', 'CDA', 'NSC')",237.10156129393584,295.41736183037585,317.15262155285615
84,"('PVV', 'BBB', 'FvD', 'JA21', 'SGP', 'Volt')","('PVV', 'BBB', 'CU', 'SP', 'Volt')","('PVV', 'BBB', 'CU', 'JA21', 'SGP', 'Volt')",340.22550610399315,359.9671137239166,372.7892329527924
103,"('BBB', 'VVD', 'SGP', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'CU', 'SGP', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'GL/PvdA', 'CDA', 'NSC')",237.10156129393584,240.98111510268564,248.16194015765404
111,"('VVD', 'CU', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'CU', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')",257.86790484292766,259.7704070649009,276.6923818888462
130,"('PVV', 'BBB', 'VVD', '50PLUS', 'JA21', 'NSC')","('PVV', 'BBB', 'VVD', 'CU', 'SGP')","('PVV', 'VVD', 'FvD', '50PLUS', 'SGP', 'NSC')",158.88479720599642,179.13435428532966,205.482116362756
146,"('VVD', 'CU', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'CU', '50PLUS', 'D66', 'GL/PvdA', 'CDA', 'NSC')",257.86790484292766,292.68648560339034,348.4275758634477
149,"('BBB', 'VVD', 'SGP', 'CDA', 'NSC')","('VVD', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'FvD', 'CDA', 'NSC')",70.73428170030968,98.97598546674084,104.0734050107818
169,"('BBB', 'VVD', 'FvD', 'SGP', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'SGP', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'Volt', 'D66', 'GL/PvdA', 'CDA', 'NSC')",382.33693510644576,388.539055009985,422.3207908791555
181,"('PVV', 'BBB', 'VVD', 'FvD', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'JA21', 'NSC')","('PVV', 'BBB', 'VVD', 'CU', '50PLUS', 'SGP')",118.65316690049052,147.755124014569,244.8118657189588
190,"('PVV', 'BBB', 'VVD', 'FvD', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('PVV', 'VVD', 'FvD', 'JA21', 'SGP', 'NSC')",118.65316690049052,168.74108562642266,168.75353986591352
211,"('VVD', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'CU', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'GL/PvdA', 'CDA')",121.58199960093812,130.783128354906,141.52105911152964
