Unnamed: 0,reger,reger2,reger3,dis1,dis2,dis3
51,"('PVV', 'CU', 'BBB', 'SGP')","('PVV', 'CU', 'BBB', 'FvD')","('PVV', 'CU', 'BBB', '50PLUS', 'SGP')",96.11108232635364,132.44174468309205,145.93520300544515
73,"('PVV', 'CU', 'BBB', 'VVD')","('PVV', 'CU', 'BBB', 'VVD', 'NSC')","('PVV', 'CU', 'BBB', 'VVD', 'SGP')",93.94587154417933,116.4936759549369,127.85117920930615
138,"('PVV', 'CU', 'BBB', 'VVD', 'NSC')","('PVV', 'JA21', 'BBB', 'VVD', 'FvD', 'NSC')","('PVV', 'CU', 'BBB', 'VVD', 'SGP', 'NSC')",116.4936759549369,153.9854068359318,161.74726072709615
238,"('PVV', 'CU', 'BBB', 'VVD', 'NSC')","('PVV', 'CU', 'BBB', 'VVD', 'SGP')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')",116.4936759549369,127.85117920930615,141.30218762162465
263,"('CU', 'VVD', 'D66', 'GL/PvdA')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('CU', 'VVD', 'D66', 'GL/PvdA', 'NSC')",112.73027374723954,141.30218762162465,151.4233610275038
331,"('PVV', 'CU', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'CU', 'BBB', 'VVD', 'FvD')","('PVV', 'JA21', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')",161.74726072709615,165.47506642482026,210.46239253760635
486,"('CDA', 'CU', 'VVD', 'D66', 'GL/PvdA')","('CDA', 'CU', 'BBB', 'VVD', 'GL/PvdA')","('CDA', 'BBB', 'VVD', 'D66', 'GL/PvdA')",167.8925691556609,171.42819084400796,183.5373493978583
528,"('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'NSC')","('PVV', 'CU', 'BBB', 'VVD', 'NSC')",77.81636321245165,99.92764388387177,116.4936759549369
756,"('PVV', 'CU', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'CU', 'BBB', 'VVD', 'FvD', 'SGP')","('PVV', 'CU', 'BBB', 'VVD', 'FvD', 'NSC')",161.74726072709615,212.5819133240553,215.1643234266349
759,"('PVV', 'BBB', 'VVD', 'FvD')","('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'CU', 'VVD')",56.05078554964041,77.81636321245165,82.59216066044657
791,"('PVV', 'CU', 'BBB', 'VVD', 'NSC')","('PVV', 'CU', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'CU', 'BBB', 'VVD', 'FvD')",116.4936759549369,161.74726072709615,165.47506642482026
858,"('PVV', 'BBB', 'VVD')","('PVV', 'BBB', 'VVD', 'NSC')","('PVV', 'JA21', 'VVD', 'FvD')",27.856702417170307,47.8536836743876,50.06535671582907
928,"('CDA', 'CU', 'BBB', 'D66', 'GL/PvdA', 'NSC')","('CDA', 'CU', 'BBB', 'Volt', 'D66', 'GL/PvdA')","('CDA', 'CU', 'BBB', 'VVD', 'D66', 'GL/PvdA')",194.83929849406644,231.65604847004445,236.5266065101874
973,"('CU', 'VVD', 'D66', 'GL/PvdA', 'NSC')","('CDA', 'BBB', 'VVD', 'GL/PvdA', 'NSC')","('CDA', 'CU', 'VVD', 'GL/PvdA', 'NSC')",151.4233610275038,153.12876124468832,154.60207631794114
