Unnamed: 0,reger,reger2,reger3,dis1,dis2,dis3
3,"('BBB', 'VVD', 'SGP', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')",237.10156129393584,276.6923818888462,292.68648560339034
5,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', '50PLUS', 'D66', 'GL/PvdA', 'CDA')",217.87218521850323,276.6923818888462,287.6616417150732
12,"('BBB', 'VVD', 'GL/PvdA', 'CDA')","('VVD', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'D66', 'GL/PvdA')",141.52105911152964,142.15397690818665,161.38940977668122
13,"('VVD', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'CU', 'GL/PvdA', 'CDA')","('VVD', 'CU', 'D66', 'GL/PvdA')",121.58199960093812,130.783128354906,131.74271499719003
14,"('VVD', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'SGP', 'GL/PvdA', 'CDA', 'NSC')",142.15397690818665,170.23239605224074,173.7908639926679
15,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'SGP', 'D66', 'GL/PvdA', 'CDA')",276.6923818888462,292.68648560339034,317.5173225015857
17,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'SP', 'PvdD', 'D66', 'GL/PvdA')","('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')",276.6923818888462,291.0626113204384,292.68648560339034
23,"('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'NSC')","('BBB', 'VVD', 'GL/PvdA', 'CDA')",107.29749950604408,118.65316690049052,141.52105911152964
25,"('VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'Volt', 'D66', 'GL/PvdA', 'CDA')",187.96326918839728,194.03201295034924,211.38537346799063
28,"('CU', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'CU', 'GL/PvdA', 'CDA', 'NSC')",158.90384762840208,170.23239605224074,170.9303970029019
29,"('VVD', 'Volt', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'SGP', 'GL/PvdA', 'CDA', 'NSC')",211.38537346799063,217.87218521850323,237.10156129393584
30,"('VVD', 'D66', 'GL/PvdA', 'CDA')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('BBB', 'VVD', 'GL/PvdA', 'CDA', 'NSC')",142.15397690818665,168.74108562642266,170.23239605224074
32,"('SP', 'PvdD', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'CU', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'SP', 'D66', 'GL/PvdA', 'CDA')",235.19143081242385,259.7704070649009,262.5448702668092
