Unnamed: 0,reger,reger2,reger3,dis1,dis2,dis3
3,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'JA21', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'CU', 'D66', 'GL/PvdA', 'CDA', 'NSC')",217.87218521850323,253.90412275071373,257.86790484292766
32,"('PVV', 'VVD', 'FvD', 'NSC')","('PVV', 'BBB', 'VVD', 'CU', 'NSC')","('PVV', 'BBB', 'VVD', '50PLUS', 'JA21', 'SGP')",96.42935007057278,168.2535741224525,181.6461678212337
99,"('VVD', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'CU', 'GL/PvdA', 'CDA')","('VVD', 'Volt', 'D66', 'GL/PvdA')",121.58199960093812,130.783128354906,135.99889614109924
120,"('PVV', 'BBB', 'VVD', 'FvD', 'JA21', 'SGP', 'NSC')","('BBB', 'VVD', 'CU', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'JA21', 'GL/PvdA', 'CDA', 'NSC')",211.4109603835053,248.16194015765404,250.21873418522804
157,"('BBB', 'VVD', 'JA21', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', '50PLUS', 'JA21', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'SP', 'D66', 'GL/PvdA', 'CDA', 'NSC')",405.4980327121286,515.0137124032216,515.3481769287364
253,"('BBB', 'VVD', 'JA21', 'SGP', 'CDA', 'NSC')","('BBB', 'VVD', 'FvD', 'JA21', 'CDA', 'NSC')","('BBB', 'VVD', 'GL/PvdA', 'CDA')",113.4298886679981,137.86533537485116,141.52105911152964
282,"('VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'JA21', 'GL/PvdA', 'CDA')",187.96326918839728,194.03201295034924,210.39381625501733
283,"('PVV', 'VVD', 'FvD', 'JA21')","('PVV', 'VVD', 'FvD', '50PLUS', 'JA21')","('PVV', 'BBB', 'VVD', '50PLUS', 'JA21', 'SGP', 'NSC')",86.98292634977224,151.741728152933,224.9073712880921
311,"('PVV', 'BBB', 'VVD', 'FvD')","('PVV', 'BBB', 'VVD', '50PLUS', 'JA21')","('PVV', 'BBB', 'VVD', 'CU', 'NSC')",89.55419718441567,125.04662939054889,168.2535741224525
356,"('PVV', 'BBB', 'VVD', 'CU', 'JA21', 'SGP')","('PVV', 'BBB', 'VVD', 'FvD', '50PLUS', 'JA21', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'JA21', 'SGP', 'Volt')",239.4306815007514,321.01534421808554,323.3865854261424
