Unnamed: 0,reger,reger2,reger3,dis1,dis2,dis3
29,"('CDA', 'BBB', 'VVD', 'D66', 'NSC')","('CDA', 'VVD', 'GL/PvdA', 'NSC')","('VVD', 'D66', 'GL/PvdA', 'NSC')",96.73824866909898,117.75541279932992,119.6657348409632
133,"('CDA', 'VVD', 'GL/PvdA', 'NSC')","('CDA', 'BBB', 'VVD', 'GL/PvdA')","('CDA', 'BBB', 'VVD', 'GL/PvdA', 'NSC')",117.75541279932992,130.03702354404555,153.12876124468832
165,"('PVV', 'VVD', 'NSC')","('PVV', 'BBB', 'VVD', 'NSC')","('PVV', 'BBB', 'VVD', 'SGP')",38.61438540345244,47.8536836743876,50.87083621323711
169,"('PVV', 'BBB', 'VVD', 'NSC')","('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP')",47.8536836743876,77.81636321245165,88.67394035032513
216,"('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'NSC')","('PVV', 'CU', 'BBB', 'VVD', 'NSC')",77.81636321245165,99.92764388387177,116.4936759549369
339,"('CDA', 'BBB', 'VVD', 'GL/PvdA', 'NSC')","('CDA', 'VVD', 'D66', 'GL/PvdA', 'NSC')","('CDA', 'CU', 'VVD', 'D66', 'GL/PvdA')",153.12876124468832,165.01026168384317,167.8925691556609
423,"('PVV', 'BBB', 'VVD', '50PLUS', 'FvD', 'SGP', 'NSC')","('PVV', 'JA21', 'BBB', 'VVD', '50PLUS', 'FvD', 'NSC')","('PVV', 'JA21', 'BBB', '50PLUS', 'FvD', 'SGP', 'NSC')",257.1685764544312,293.37015707863264,305.56905644724446
430,"('CDA', 'CU', 'BBB', 'VVD', 'GL/PvdA', 'NSC')","('CDA', 'BBB', 'VVD', 'SGP', 'GL/PvdA', 'NSC')","('CDA', 'CU', 'VVD', '50PLUS', 'GL/PvdA', 'NSC')",206.82579739401285,207.5607601569593,208.8074115921884
473,"('PVV', 'BBB', 'VVD', 'NSC')","('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'JA21', 'BBB', 'VVD', 'FvD')",47.8536836743876,77.81636321245165,84.40391361580272
483,"('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('PVV', 'JA21', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', '50PLUS', 'SGP', 'NSC')",141.30218762162465,143.4448233988141,152.32259257254023
726,"('CDA', 'BBB', 'VVD', 'GL/PvdA', 'NSC')","('CDA', 'VVD', 'D66', 'GL/PvdA', 'NSC')","('BBB', 'VVD', 'D66', 'GL/PvdA', 'NSC')",153.12876124468832,165.01026168384317,172.3210889980359
752,"('PVV', 'BBB', 'VVD', 'NSC')","('PVV', 'BBB', 'VVD', 'SGP')","('PVV', 'BBB', 'VVD', 'FvD')",47.8536836743876,50.87083621323711,56.05078554964041
763,"('CU', 'VVD', 'D66', 'GL/PvdA', 'NSC')","('CDA', 'VVD', 'D66', 'GL/PvdA', 'NSC')","('BBB', 'VVD', 'D66', 'GL/PvdA', 'NSC')",151.4233610275038,165.01026168384317,172.3210889980359
846,"('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('CDA', 'BBB', 'VVD', 'GL/PvdA', 'NSC')","('PVV', 'JA21', 'BBB', 'VVD', 'FvD', 'NSC')",141.30218762162465,153.12876124468832,153.9854068359318
850,"('CDA', 'VVD', 'D66', 'GL/PvdA', 'NSC')","('CDA', 'BBB', 'VVD', 'D66', 'GL/PvdA')","('CDA', 'VVD', 'Volt', 'D66', 'GL/PvdA')",165.01026168384317,183.5373493978583,201.6489619192875
890,"('CDA', 'VVD', 'D66', 'GL/PvdA', 'NSC')","('CDA', 'BBB', 'VVD', 'D66', 'GL/PvdA')","('CDA', 'VVD', 'Volt', 'D66', 'GL/PvdA')",165.01026168384317,183.5373493978583,201.6489619192875
976,"('PVV', 'BBB', 'VVD', 'FvD', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('PVV', 'JA21', 'BBB', 'VVD', 'FvD', 'NSC')",99.92764388387177,141.30218762162465,153.9854068359318
991,"('PVV', 'BBB', 'VVD')","('PVV', 'VVD', 'NSC')","('PVV', 'BBB', 'VVD', 'NSC')",27.856702417170307,38.61438540345244,47.8536836743876
