Unnamed: 0,reger,reger2,reger3,dis1,dis2,dis3
10,"('PVV', 'BBB', 'FvD', 'CU', 'SP', 'SGP')","('PVV', 'BBB', 'FvD', 'SP', 'SGP', 'Volt')","('PVV', 'BBB', 'FvD', 'CU', 'SP', 'Volt')",463.5082940384561,551.6547895533264,551.7144849082873
16,"('VVD', 'CU', 'SP', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'CU', 'SGP', 'D66', 'GL/PvdA', 'CDA', 'NSC')",354.131165932207,371.25716147064605,372.9047576498155
17,"('PVV', 'BBB', 'CU', 'SP', 'SGP', 'Volt')","('PVV', 'BBB', 'FvD', 'CU', 'JA21', 'SGP', 'Volt')","('PVV', 'BBB', 'FvD', 'SP', 'SGP', 'Volt')",502.2204180674855,510.4349547650266,551.6547895533264
22,"('BBB', 'VVD', 'CU', 'SGP', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'SP', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'SP', 'D66', 'GL/PvdA', 'CDA', 'NSC')",505.0502437172108,513.5968471020518,515.3481769287364
24,"('BBB', 'VVD', 'CU', 'SGP', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'SP', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'SP', 'D66', 'GL/PvdA', 'CDA', 'NSC')",505.0502437172108,513.5968471020518,515.3481769287364
25,"('PVV', 'BBB', 'FvD', 'CU', 'SP', 'SGP')","('BBB', 'VVD', 'SGP', 'Volt', 'D66', 'GL/PvdA', 'CDA')","('PVV', 'BBB', 'CU', 'SP', 'SGP', 'Volt')",463.5082940384561,478.7654921437892,502.2204180674855
26,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'SGP', 'D66', 'GL/PvdA', 'CDA')",276.6923818888462,292.68648560339034,317.5173225015857
28,"('BBB', 'VVD', 'FvD', 'SGP', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'FvD', 'JA21', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'SP', 'GL/PvdA', 'CDA', 'NSC')",382.33693510644576,382.6254119314687,384.1533677354923
43,"('PVV', 'CU', 'SP', 'Volt', 'PvdD')","('PVV', 'CU', 'SP', 'SGP', 'PvdD')","('PVV', 'SP', 'SGP', 'Volt', 'PvdD')",377.5750287887802,409.6169464016786,464.54665001255296
45,"('BBB', 'VVD', 'SP', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'SP', 'PvdD', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', '50PLUS', 'SP', 'D66', 'GL/PvdA', 'CDA')",403.14895707007776,448.300141509089,503.89005508860834
46,"('BBB', 'VVD', 'CU', 'SGP', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'SP', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'SP', 'D66', 'GL/PvdA', 'CDA', 'NSC')",505.0502437172108,513.5968471020518,515.3481769287364
51,"('BBB', 'VVD', 'SP', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'FvD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', '50PLUS', 'SP', 'D66', 'GL/PvdA', 'CDA')",403.14895707007776,469.8125294139888,503.89005508860834
57,"('PVV', 'BBB', 'FvD', 'JA21', 'SGP', 'Volt')","('PVV', 'BBB', 'CU', 'SP', 'Volt')","('PVV', 'BBB', 'JA21', 'SP', 'Volt')",340.22550610399315,359.9671137239166,371.0015991605314
59,"('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'Volt', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'Volt', 'D66', 'GL/PvdA', 'CDA')",371.25716147064605,422.3207908791555,429.6020143791744
70,"('BBB', 'VVD', 'SGP', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'FvD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'FvD', 'SGP', 'D66', 'GL/PvdA', 'CDA', 'NSC')",388.539055009985,469.8125294139888,489.8702232587887
83,"('Denk', 'BBB', 'VVD', 'SP', 'D66', 'GL/PvdA', 'CDA')","('Denk', 'BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'FvD', 'SGP', 'D66', 'GL/PvdA', 'CDA', 'NSC')",548.2849956835532,572.4178696934196,605.8098356501482
84,"('PVV', 'BBB', 'FvD', 'JA21', 'SGP', 'Volt')","('PVV', 'BBB', 'CU', 'SP', 'Volt')","('PVV', 'BBB', 'CU', 'JA21', 'SGP', 'Volt')",340.22550610399315,359.9671137239166,372.7892329527924
85,"('PVV', 'CU', 'SP', 'Volt', 'PvdD')","('PVV', 'CU', 'SP', 'SGP', 'PvdD')","('PVV', 'BBB', 'FvD', 'CU', 'JA21', 'SP')",377.5750287887802,409.6169464016786,455.391802004621
90,"('PVV', 'BBB', 'CU', 'SP', 'SGP', 'Volt')","('PVV', 'BBB', 'CU', 'JA21', 'SP', 'Volt')","('PVV', 'BBB', 'JA21', 'SP', 'SGP', 'Volt')",502.2204180674855,502.9797816454626,508.69102489889207
92,"('BBB', 'VVD', 'CU', 'SGP', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'Volt', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('Denk', 'BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA', 'NSC')",505.0502437172108,547.1494747209186,572.4178696934196
100,"('PVV', 'BBB', 'FvD', 'JA21', 'SP')","('PVV', 'BBB', 'FvD', 'SP', 'SGP')","('PVV', 'BBB', 'FvD', 'CU', 'SP')",301.34982729577354,327.2816640425857,352.35665045181315
104,"('BBB', 'VVD', 'SP', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'Volt', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'Volt', 'D66', 'GL/PvdA', 'CDA')",403.14895707007776,422.3207908791555,429.6020143791744
106,"('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', '50PLUS', 'D66', 'GL/PvdA', 'CDA')",292.68648560339034,371.25716147064605,385.117401037738
