Unnamed: 0,reger,reger2,reger3,dis1,dis2,dis3
17,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'SP', 'PvdD', 'D66', 'GL/PvdA')","('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')",276.6923818888462,291.0626113204384,292.68648560339034
55,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'PvdD', 'D66', 'GL/PvdA', 'CDA')",276.6923818888462,292.68648560339034,312.8236481937471
89,"('PVV', 'BBB', 'VVD', 'FvD', 'NSC')","('VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')",118.65316690049052,187.96326918839728,194.03201295034924
98,"('PVV', 'BBB', 'VVD', 'FvD', '50PLUS', 'JA21', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'JA21', 'SGP', 'Volt', 'NSC')","('BBB', 'VVD', 'JA21', 'D66', 'GL/PvdA', 'CDA', 'NSC')",321.01534421808554,389.7095969774831,405.4980327121286
136,"('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'JA21', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'CU', 'NSC')",107.29749950604408,144.67329889036017,168.2535741224525
255,"('PVV', 'BBB', 'VVD', 'FvD', '50PLUS', 'SGP')","('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA')","('PVV', 'BBB', 'VVD', '50PLUS', 'JA21', 'SGP', 'NSC')",206.5964736861053,217.87218521850323,224.9073712880921
265,"('VVD', 'GL/PvdA', 'CDA', 'NSC')","('BBB', 'VVD', 'GL/PvdA', 'CDA')","('VVD', 'D66', 'GL/PvdA', 'CDA')",121.58199960093812,141.52105911152964,142.15397690818665
292,"('PVV', 'CU', 'SP', 'Volt', 'PvdD')","('PVV', 'CU', 'SP', 'SGP', 'PvdD')","('PVV', 'JA21', 'SP', 'Volt', 'PvdD')",377.5750287887802,409.6169464016786,455.4062535463008
340,"('PVV', 'BBB', 'VVD', 'FvD', 'NSC')","('BBB', 'VVD', 'GL/PvdA', 'CDA')","('PVV', 'BBB', 'VVD', 'FvD', 'JA21', 'SGP')",118.65316690049052,141.52105911152964,163.6135129562776
374,"('SP', 'Volt', 'PvdD', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'SP', 'Volt', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'SP', 'Volt', 'PvdD', 'D66', 'GL/PvdA')",342.4199085707836,382.1763492876824,399.872601850253
386,"('VVD', 'GL/PvdA', 'CDA')","('VVD', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'CU', 'GL/PvdA', 'CDA')",98.97598546674084,121.58199960093812,130.783128354906
408,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'SP', 'PvdD', 'D66', 'GL/PvdA')","('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA')",276.6923818888462,291.0626113204384,292.68648560339034
418,"('BBB', 'VVD', 'GL/PvdA', 'CDA')","('VVD', 'D66', 'GL/PvdA', 'CDA')","('VVD', 'Volt', 'GL/PvdA', 'CDA')",141.52105911152964,142.15397690818665,163.0570533832697
420,"('PVV', 'BBB', 'VVD', 'FvD', '50PLUS')","('BBB', 'VVD', 'D66', 'GL/PvdA', 'CDA')","('PVV', 'BBB', 'VVD', 'FvD', '50PLUS', 'JA21', 'NSC')",145.7084978264424,217.87218521850323,235.1970436671644
