Unnamed: 0,reger,reger2,reger3,dis1,dis2,dis3
60,"('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('PVV', 'JA21', 'BBB', 'VVD', 'SGP', 'NSC')",77.81636321245165,141.30218762162465,143.4448233988141
102,"('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('PVV', 'JA21', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'BVNL', 'FvD', 'SGP', 'NSC')",141.30218762162465,210.46239253760635,237.88871030040053
208,"('PVV', 'BBB', 'VVD', 'SGP')","('PVV', 'BBB', 'VVD', 'FvD')","('PVV', 'VVD', 'FvD', 'SGP')",50.87083621323711,56.05078554964041,62.98852739294093
252,"('CDA', 'VVD', 'SGP', 'GL/PvdA', 'NSC')","('CDA', 'BBB', 'VVD', 'SGP', 'GL/PvdA')","('CDA', 'VVD', 'D66', 'SGP', 'GL/PvdA')",162.21174491726052,171.4244371255431,189.6795685596596
306,"('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'JA21', 'BBB', 'VVD', 'FvD', 'SGP')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')",77.81636321245165,130.35802113042837,141.30218762162465
310,"('CDA', 'VVD', 'D66', 'GL/PvdA')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('CDA', 'BBB', 'VVD', 'GL/PvdA', 'NSC')",132.08790614349164,141.30218762162465,153.12876124468832
348,"('CDA', 'BBB', 'VVD', 'SGP', 'GL/PvdA')","('CDA', 'BBB', 'VVD', 'D66', 'GL/PvdA')","('BBB', 'VVD', 'D66', 'SGP', 'GL/PvdA')",171.4244371255431,183.5373493978583,199.5020992194657
448,"('CDA', 'VVD', 'D66', 'SGP', 'GL/PvdA')","('CDA', 'CU', 'VVD', 'D66', 'GL/PvdA', 'NSC')","('CDA', 'BBB', 'VVD', 'D66', 'GL/PvdA', 'NSC')",189.6795685596596,213.10865780990315,224.5676301702453
529,"('PVV', 'BBB', 'VVD')","('PVV', 'BBB', 'VVD', 'NSC')","('PVV', 'BBB', 'VVD', 'SGP')",27.856702417170307,47.8536836743876,50.87083621323711
615,"('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('PVV', 'JA21', 'BBB', 'VVD', 'SGP', 'NSC')",77.81636321245165,141.30218762162465,143.4448233988141
636,"('CDA', 'VVD', 'D66', 'GL/PvdA')","('CDA', 'VVD', 'SGP', 'GL/PvdA')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')",132.08790614349164,134.92449875435182,141.30218762162465
683,"('PVV', 'BBB', 'VVD', 'SGP')","('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP')",50.87083621323711,77.81636321245165,88.67394035032513
718,"('CDA', 'BBB', 'VVD', 'D66', 'NSC')","('CDA', 'BBB', 'VVD', 'D66', 'SGP')","('CDA', 'BBB', 'VVD', 'D66', 'SGP', 'NSC')",96.73824866909898,107.31119804702033,137.83156302421162
738,"('PVV', 'BBB', 'VVD', 'SGP')","('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP')",50.87083621323711,77.81636321245165,88.67394035032513
823,"('CU', 'VVD', 'D66', 'GL/PvdA')","('CDA', 'VVD', 'GL/PvdA', 'NSC')","('VVD', 'D66', 'GL/PvdA', 'NSC')",112.73027374723954,117.75541279932992,119.6657348409632
847,"('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP')","('PVV', 'CU', 'BBB', 'VVD', 'SGP')",77.81636321245165,88.67394035032513,127.85117920930615
857,"('PVV', 'BBB', 'VVD')","('PVV', 'VVD', 'SGP')","('PVV', 'BBB', 'VVD', 'NSC')",27.856702417170307,38.86399851016492,47.8536836743876
