Unnamed: 0,reger,reger2,reger3,dis1,dis2,dis3
0,"('PVV', 'BBB', 'VVD', 'FvD', 'NSC')","('PVV', 'VVD', 'FvD', 'JA21', 'SGP', 'NSC')","('PVV', 'VVD', 'FvD', 'CU', 'NSC')",118.65316690049052,168.75353986591352,206.56370141569923
2,"('PVV', 'BBB', 'VVD', 'JA21')","('PVV', 'BBB', 'VVD', 'JA21', 'NSC')","('PVV', 'BBB', 'VVD', 'SGP', 'NSC')",74.59535932582557,98.8998478780133,107.29749950604408
4,"('PVV', 'BBB', 'VVD', 'FvD', 'SGP')","('PVV', 'VVD', 'FvD', 'SGP', 'NSC')","('BBB', 'VVD', 'GL/PvdA', 'CDA')",131.21283846871813,131.96457787149222,141.52105911152964
7,"('PVV', 'BBB', 'VVD', 'FvD')","('PVV', 'BBB', 'VVD', 'JA21', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', '50PLUS')",89.55419718441567,98.8998478780133,145.7084978264424
16,"('VVD', 'CU', 'SP', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'CU', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'CU', 'SGP', 'D66', 'GL/PvdA', 'CDA', 'NSC')",354.131165932207,371.25716147064605,372.9047576498155
21,"('VVD', 'D66', 'GL/PvdA', 'CDA')","('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('BBB', 'VVD', 'GL/PvdA', 'CDA', 'NSC')",142.15397690818665,168.74108562642266,170.23239605224074
27,"('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('VVD', 'D66', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'Volt', 'D66', 'GL/PvdA', 'CDA')",168.74108562642266,194.03201295034924,211.38537346799063
35,"('VVD', 'D66', 'GL/PvdA', 'CDA')","('BBB', 'VVD', 'GL/PvdA', 'CDA', 'NSC')","('VVD', 'SP', 'D66', 'GL/PvdA')",142.15397690818665,170.23239605224074,186.2719864915773
37,"('PVV', 'VVD', 'FvD', 'NSC')","('PVV', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'FvD', 'JA21')",96.42935007057278,107.29749950604408,108.90853344870122
42,"('PVV', 'BBB', 'VVD', 'JA21', 'SGP')","('PVV', 'BBB', 'VVD', '50PLUS', 'JA21')","('PVV', 'BBB', 'VVD', 'JA21', 'SGP', 'NSC')",112.49279238398836,125.04662939054889,144.67329889036017
53,"('PVV', 'BBB', 'VVD', 'FvD', 'JA21', 'NSC')","('BBB', 'VVD', 'CU', 'GL/PvdA', 'CDA')","('PVV', 'BBB', 'VVD', 'CU', 'SGP', 'NSC')",147.755124014569,201.1911666028292,216.2877510460333
54,"('PVV', 'BBB', 'VVD', 'FvD', 'JA21')","('PVV', 'BBB', 'VVD', 'JA21', 'SGP')","('PVV', 'BBB', 'VVD', 'FvD', 'NSC')",108.90853344870122,112.49279238398836,118.65316690049052
