Unnamed: 0,reger,reger2,reger3,dis1,dis2,dis3
46,"('PVV', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('PVV', 'CU', 'BBB', 'VVD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'SP', 'NSC')",141.30218762162465,161.74726072709615,185.95266446580223
73,"('PVV', 'CU', 'BBB', 'VVD')","('PVV', 'CU', 'BBB', 'VVD', 'NSC')","('PVV', 'CU', 'BBB', 'VVD', 'SGP')",93.94587154417933,116.4936759549369,127.85117920930615
147,"('CDA', 'BBB', 'VVD', 'GL/PvdA')","('VVD', 'Volt', 'D66', 'GL/PvdA')","('BBB', 'VVD', 'D66', 'GL/PvdA')",130.03702354404555,133.11197851842206,139.7580968466917
157,"('CDA', 'VVD', 'D66', 'GL/PvdA', 'NSC')","('CU', 'VVD', 'Volt', 'D66', 'GL/PvdA')","('BBB', 'VVD', 'D66', 'GL/PvdA', 'NSC')",165.01026168384317,166.43207081919238,172.3210889980359
191,"('CDA', 'VVD', 'D66', 'GL/PvdA', 'NSC')","('CU', 'VVD', 'Volt', 'D66', 'GL/PvdA')","('CDA', 'CU', 'VVD', 'D66', 'GL/PvdA')",165.01026168384317,166.43207081919238,167.8925691556609
348,"('CDA', 'BBB', 'VVD', 'SGP', 'GL/PvdA')","('CDA', 'BBB', 'VVD', 'D66', 'GL/PvdA')","('BBB', 'VVD', 'D66', 'SGP', 'GL/PvdA')",171.4244371255431,183.5373493978583,199.5020992194657
414,"('CU', 'VVD', 'D66', 'GL/PvdA')","('CDA', 'VVD', 'GL/PvdA', 'NSC')","('VVD', 'D66', 'GL/PvdA', 'NSC')",112.73027374723954,117.75541279932992,119.6657348409632
666,"('PVV', 'JA21', 'BBB', 'VVD', 'FvD', 'SGP', 'NSC')","('PVV', 'BBB', 'VVD', 'BVNL', 'FvD', 'SGP', 'NSC')","('PVV', 'VVD', 'SP', 'FvD', 'NSC')",210.46239253760635,237.88871030040053,249.68890611479097
719,"('BBB', 'VVD', 'D66', 'GL/PvdA', 'NSC')","('CDA', 'BBB', 'VVD', 'D66', 'GL/PvdA')","('VVD', 'Volt', 'D66', 'GL/PvdA', 'NSC')",172.3210889980359,183.5373493978583,186.2381547803412
850,"('CDA', 'VVD', 'D66', 'GL/PvdA', 'NSC')","('CDA', 'BBB', 'VVD', 'D66', 'GL/PvdA')","('CDA', 'VVD', 'Volt', 'D66', 'GL/PvdA')",165.01026168384317,183.5373493978583,201.6489619192875
