,reger,reger2,reger3,dis1,dis2,dis3
0,"GL/PvdA, VVD, CDA, BBB, NSC","GL/PvdA, 50PLUS, VVD, CDA, BBB, NSC","GL/PvdA, VVD, SGP, CDA, BBB, NSC",64.48965324713501,64.64854154708496,67.25180889143427
1,"GL/PvdA, 50PLUS, D66, VVD, CDA, BBB, NSC","GL/PvdA, D66, VVD, CDA, BBB, NSC","GL/PvdA, D66, VVD, CU, CDA, BBB, NSC",78.04125759395218,78.48140301967874,80.32976594634039
2,"GL/PvdA, D66, VVD, CU, CDA, NSC","GL/PvdA, D66, VVD, CDA, BBB, NSC","GL/PvdA, D66, VVD, SGP, CDA, NSC",73.14200278180402,78.48140301967874,81.96557954440429
3,"GL/PvdA, VVD, CDA, NSC","GL/PvdA, 50PLUS, VVD, CDA, NSC","GL/PvdA, VVD, CDA, BBB, NSC",62.10484149405195,62.85188113371474,64.48965324713501
4,"PVV, BBB, NSC","PVV, JA21, BBB, NSC","PVV, FvD, JA21, BBB, NSC",27.82225771129509,28.526150425468586,32.452641343381835
5,"GL/PvdA, D66, VVD, CU, CDA, NSC","GL/PvdA, D66, CU, CDA, BBB, NSC","GL/PvdA, D66, VVD, CDA, BBB, NSC",73.14200278180402,73.68163109614085,78.48140301967874
6,"GL/PvdA, D66, VVD, CU, CDA, NSC","GL/PvdA, D66, VVD, CDA, BBB, NSC","GL/PvdA, D66, VVD, CU, CDA, BBB",73.14200278180402,78.48140301967874,83.01799232145406
7,"PvdD, GL/PvdA, D66, VVD, CU, CDA, NSC","PvdD, GL/PvdA, D66, VVD, Volt, CDA, NSC","PvdD, GL/PvdA, D66, VVD, CDA, Denk, NSC",115.78431329236504,123.0028847070596,123.69662510340699
8,"GL/PvdA, VVD, SGP, CDA, BBB, NSC","GL/PvdA, D66, VVD, CU, CDA, NSC","GL/PvdA, D66, VVD, CDA, NSC",67.25180889143427,73.14200278180402,73.50573406821839
9,"PVV, VVD, JA21, BBB, NSC","PVV, VVD, BBB, NSC","PVV, VVD, SGP, BBB, NSC",37.466528368021095,37.69678803786134,40.64783612224991
